rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
BANK OF THE OZARKS,BANK OF THE OZARKS,Large,2010,2018,10,-1,Noise,Large - Noise,13.123854637145996,-23.020662307739258
BMW BANK OF NORTH AMERICA,BMW BANK OF NORTH AMERICA,Large,2010,2021,12,-1,Noise,Large - Noise,12.917106628417969,-22.353858947753906
CHEMICAL BANK,CHEMICAL BANK,Large,2010,2019,11,-1,Noise,Large - Noise,11.675291061401367,-23.0793514251709
EASTERN BANK,EASTERN BANK,Large,2010,2021,13,-1,Noise,Large - Noise,13.154450416564941,-22.6037540435791
FIRST NATIONAL BANK OF OMAHA,FIRST NATIONAL BANK OF OMAHA,Large,2010,2021,12,-1,Noise,Large - Noise,11.560479164123535,-25.74394416809082
"FULTON BANK, NATIONAL ASSOCIATION","FULTON BANK, NATIONAL ASSOCIATION",Large,2010,2021,13,-1,Noise,Large - Noise,12.64629077911377,-24.23402214050293
IBERIABANK,IBERIABANK,Large,2010,2020,12,-1,Noise,Large - Noise,12.882601737976074,-22.45344352722168
PROSPERITY BANK,PROSPERITY BANK,Large,2010,2021,13,-1,Noise,Large - Noise,11.977286338806152,-22.880760192871094
ROCKLAND TRUST COMPANY,ROCKLAND TRUST COMPANY,Large,2010,2021,13,-1,Noise,Large - Noise,11.447075843811035,-23.012216567993164
STERLING NATIONAL BANK,STERLING NATIONAL BANK,Large,2010,2021,13,-1,Noise,Large - Noise,13.23021411895752,-22.88010025024414
VALLEY NATIONAL BANK,VALLEY NATIONAL BANK,Large,2010,2021,12,-1,Noise,Large - Noise,13.067383766174316,-22.408967971801758
"WELLS FARGO BANK, NATIONAL ASSOCIATION","WELLS FARGO BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,-1,Noise,Large - Noise,11.747029304504395,-25.43787956237793
BERKSHIRE BANK,BERKSHIRE BANK,Large,2010,2021,13,0,Securities Shifters,Large - Securities Shifters,10.98843765258789,-24.018747329711914
EAGLEBANK,EAGLEBANK,Large,2010,2021,12,0,Securities Shifters,Large - Securities Shifters,11.100003242492676,-23.57794952392578
FIRST INTERSTATE BANK,FIRST INTERSTATE BANK,Large,2010,2021,12,0,Securities Shifters,Large - Securities Shifters,11.230724334716797,-24.12785530090332
FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,Large,2010,2021,12,0,Securities Shifters,Large - Securities Shifters,10.884464263916016,-23.97194480895996
INVESTORS BANK,INVESTORS BANK,Large,2011,2021,11,0,Securities Shifters,Large - Securities Shifters,11.201828002929688,-23.45560073852539
"RAYMOND JAMES BANK, NATIONAL ASSOCIATION","RAYMOND JAMES BANK, NATIONAL ASSOCIATION",Large,2012,2021,11,0,Securities Shifters,Large - Securities Shifters,10.480260848999023,-23.71257781982422
SERVISFIRST BANK,SERVISFIRST BANK,Large,2010,2021,13,0,Securities Shifters,Large - Securities Shifters,11.226774215698242,-23.75201416015625
"STATE FARM BANK, FSB","STATE FARM BANK, FSB",Large,2012,2020,9,0,Securities Shifters,Large - Securities Shifters,10.75694465637207,-23.671852111816406
"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION","TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",Large,2010,2021,13,0,Securities Shifters,Large - Securities Shifters,10.948107719421387,-23.83434295654297
USAA FEDERAL SAVINGS BANK,USAA FEDERAL SAVINGS BANK,Large,2012,2021,10,0,Securities Shifters,Large - Securities Shifters,10.367938041687012,-23.813156127929688
APPLE BANK FOR SAVINGS,APPLE BANK FOR SAVINGS,Large,2010,2021,13,1,Loan Growth Focus,Large - Loan Growth Focus,13.726236343383789,-23.9620304107666
BANK OF HAWAII,BANK OF HAWAII,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.749028205871582,-24.383319854736328
"BANKUNITED, NATIONAL ASSOCIATION","BANKUNITED, NATIONAL ASSOCIATION",Large,2012,2021,10,1,Loan Growth Focus,Large - Loan Growth Focus,14.02894401550293,-24.190990447998047
"BOKF, NATIONAL ASSOCIATION","BOKF, NATIONAL ASSOCIATION",Large,2011,2021,11,1,Loan Growth Focus,Large - Loan Growth Focus,13.544760704040527,-24.480554580688477
CATHAY BANK,CATHAY BANK,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,14.235461235046387,-23.696880340576172
CUSTOMERS BANK,CUSTOMERS BANK,Large,2011,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.318748474121094,-23.737995147705078
GOLDMAN SACHS BANK USA,GOLDMAN SACHS BANK USA,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,14.20109748840332,-24.59433937072754
ISRAEL DISCOUNT BANK OF NEW YORK,ISRAEL DISCOUNT BANK OF NEW YORK,Large,2010,2021,13,1,Loan Growth Focus,Large - Loan Growth Focus,14.318879127502441,-23.807701110839844
"MORGAN STANLEY BANK, N.A.","MORGAN STANLEY BANK, N.A.",Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.348634719848633,-24.0794734954834
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION","MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.127928733825684,-24.0157413482666
NEW YORK COMMUNITY BANK,NEW YORK COMMUNITY BANK,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.507880210876465,-24.554136276245117
"OPTUM BANK, INC.","OPTUM BANK, INC.",Large,2013,2021,10,1,Loan Growth Focus,Large - Loan Growth Focus,14.124555587768555,-24.48404884338379
PROVIDENT BANK,PROVIDENT BANK,Large,2012,2021,9,1,Loan Growth Focus,Large - Loan Growth Focus,13.970736503601074,-23.607315063476562
SANDY SPRING BANK,SANDY SPRING BANK,Large,2010,2021,13,1,Loan Growth Focus,Large - Loan Growth Focus,13.316909790039062,-23.453414916992188
STATE STREET BANK AND TRUST COMPANY,STATE STREET BANK AND TRUST COMPANY,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,14.259060859680176,-24.611488342285156
STIFEL BANK AND TRUST,STIFEL BANK AND TRUST,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,13.922651290893555,-23.498918533325195
"TD BANK USA, NATIONAL ASSOCIATION","TD BANK USA, NATIONAL ASSOCIATION",Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,14.346497535705566,-23.395292282104492
UBS BANK USA,UBS BANK USA,Large,2010,2021,12,1,Loan Growth Focus,Large - Loan Growth Focus,14.22674560546875,-23.4341983795166
ALLY BANK,ALLY BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.598577499389648,-26.1458683013916
AMERICAN EXPRESS CENTURION BANK,AMERICAN EXPRESS CENTURION BANK,Large,2010,2018,9,2,Quality Improvers,Large - Quality Improvers,13.027235984802246,-25.035236358642578
AMERIS BANK,AMERIS BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.302437782287598,-25.420787811279297
"ASSOCIATED BANK, NATIONAL ASSOCIATION","ASSOCIATED BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.918928146362305,-25.96747398376465
BANCO POPULAR DE PUERTO RICO,BANCO POPULAR DE PUERTO RICO,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.943086624145508,-26.941829681396484
BANCORPSOUTH BANK,BANCORPSOUTH BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.001697540283203,-25.12821388244629
