BANK_ID,CIK,RSSD_ID,CERT,Bank_Name,Edgar_Name,Match_Type,Match_Score
1,1374756,2376,,Oritani Bank,Oritani Financial Corp.,exact,1
3,715579,5210,7506,ACNB Bank,ACNB CORP,exact,1
4,1062438,11275,,Pulaski Bank,PULASKI FINANCIAL CORP,exact,1
5,712534,17147,4365,First Merchants Bank,FIRST MERCHANTS CORP,exact,1
6,1746129,18854,4147,Bank 7,Bank7 Corp.,fuzzy,0.944444444444444
7,764241,23241,,Integra Bank National Association,INTEGRA BANK CORP,fuzzy,0.861111111111111
8,1114927,23755,5357,First National Community Bank,FIRST NORTHERN COMMUNITY BANCORP,fuzzy,0.872222222222222
9,1401700,28013,28710,Northfield Bank,"Northfield Bancorp, Inc.",fuzzy,0.851851851851852
11,1601545,28406,,Blue Hills Bank,"Blue Hills Bancorp, Inc.",fuzzy,0.851851851851852
12,1359111,30874,,Fox Chase Bank,Fox Chase Bancorp Inc,exact,1
14,887919,33259,21714,Premier Bank,PREMIER FINANCIAL BANCORP INC,exact,1
16,1327607,34742,13083,First Western Bank,First Western Financial Inc,exact,1
17,1326807,35570,28892,Investors Bank,Investors Bancorp Inc,exact,1
18,714395,37640,17393,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",fuzzy,0.884057971014493
19,723188,47256,27053,Community Financial Bank,"COMMUNITY FINANCIAL SYSTEM, INC.",fuzzy,0.91025641025641
22,1324410,53239,,Guaranty Bank,Guaranty Bancorp,exact,1
23,933590,54375,,Your Community Bank,"Your Community Bankshares, Inc.",fuzzy,0.853333333333333
24,1028734,56557,,CoBiz Bank,COBIZ FINANCIAL INC,exact,1
25,812348,58636,11448,Century Bank,CENTURY BANCORP INC,exact,1
26,737468,58971,1281,Washington Trust Bank,WASHINGTON TRUST BANCORP INC,exact,1
28,28412,60143,983,Comerica Bank,COMERICA INC,exact,1
29,201461,63069,17281,City National Bank,CITY NATIONAL CORP,exact,1
31,1635484,66677,28346,Cincinnati Federal,Cincinnati Bancorp,fuzzy,0.851851851851852
32,1011659,67254,27010,Young Americans Bank,MUFG Americas Holdings Corp,fuzzy,0.85982905982906
33,842517,74140,1005,Isabella Bank,ISABELLA BANK CORP,exact,1
34,1323648,77422,26871,Community Bankers' Bank,Community Bankers Trust Corp,fuzzy,0.981481481481481
35,1635626,81175,31485,Equitable Bank,Equitable Financial Corp.,exact,1
36,1289701,83638,22953,"MERCANTIL BANK, NATIONAL ASSOCIATION","Mercantile Bancorp, Inc.",fuzzy,0.883597883597884
37,1004702,85472,28359,OceanFirst Bank,OCEANFIRST FINANCIAL CORP,exact,1
