BANK_ID,Year,Net_Interest_Income_Annual,Noninterest_Income_Annual,Noninterest_Expense_Annual,Net_Income_Annual,Income_Before_Tax_Annual,Fiduciary_Income_Annual,Investment_Banking_Fees_Annual,Service_Charges_Deposits_Annual,Trading_Revenue_Annual,Venture_Capital_Revenue_Annual,Net_Servicing_Fees_Annual,Other_Noninterest_Income_Annual,Salaries_Benefits_Annual,Occupancy_Expense_Annual,Data_Processing_Expense_Annual,Intangible_Amortization_Annual,Software_Expense_Annual,Other_Noninterest_Expense_Annual,Total_Assets_EOY,Total_Loans_EOY,Cash_EOY,Securities_EOY,Intangible_Assets_EOY,Goodwill_EOY,Total_Liabilities_EOY,Total_Equity_EOY,Total_Deposits_EOY,NIB_Deposits_EOY,Interest_Bearing_Transaction_EOY,Savings_Deposits_EOY,Time_Deposits_EOY,Commercial_Loans_EOY,Real_Estate_Loans_EOY,Consumer_Loans_EOY,Nonaccrual_Loans_EOY,Loans_Past_Due_30_89_EOY,Tier1_Capital_Ratio,Total_Risk_Based_Capital_Ratio,CET1_Ratio,Efficiency_Ratio,Noninterest_Income_Ratio,Fiduciary_Income_Ratio,IT_Expense_Ratio,NIB_Deposit_Pct,Fee_Income_Pct,Venture_Capital_Flag,Branch_Cost_Ratio,Loan_Deposit_Ratio,NPL_Ratio,Efficiency_Ratio_Annual,ROA_Annual,ROE_Annual,Noninterest_Income_Ratio_Annual,Fiduciary_Income_Ratio_Annual,IT_Expense_Ratio_Annual,Has_10K,Filing_Date_10K,Filing_URL_10K,Has_DEF14A,Filing_Date_DEF14A,Filing_URL_DEF14A,Total_Branches,Total_Deposits_SOD,Deposits_Per_Branch,Branch_Growth_YoY,Net_Interest_Income_QTR_Annual,Noninterest_Income_QTR_Annual,Noninterest_Expense_QTR_Annual,Net_Income_QTR_Annual,Avg_Assets_Annual
1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1271768,58869,1212899,,,,,,,,,,,,,,,0.0462891030439514,,0,,,,,,,,,,FALSE,,"",FALSE,,"",23,1306399,56799.9565217391,,,,,,
1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1349815,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",24,1400547,58356.125,0.0434782608695652,,,,,
1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1407682,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",26,1410270,54241.1538461538,0.0833333333333333,,,,,
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1388459,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",26,1443886,55534.0769230769,0,,,,,
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1552076,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",26,1606157,61775.2692307692,0,,,,,
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1976604,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",26,1988595,76484.4230769231,0,,,,,
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2251292,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,,"",FALSE,,"",27,2285498,84648.0740740741,0.0384615384615385,,,,,
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2710202,158505,2551698,,,,,,0,10284,,,,,,,,0.0584845705227876,,0,,,,,,,,,,FALSE,,"",FALSE,,"",27,2885290,106862.592592593,0,,,,,
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2985070,169289,2815781,,,,,,0,11695,,,,,,,,0.0567119029034495,,0,,,,,,,,,,FALSE,,"",FALSE,,"",27,2946046,109112.814814815,0,,,,,
1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,"",FALSE,,"",27,2951631,109319.666666667,0,,,,,
